ts,bid_px,ask_px,bid_sz,ask_sz
1773754206060728424,252.64,252.73,100.0,100.0
1773754206070868355,250.0,252.73,100.0,100.0
1773754206071106989,250.0,252.71,100.0,100.0
1773754206071184666,250.0,252.71,100.0,100.0
1773754206071204164,250.0,252.71,100.0,200.0
1773754206071211488,250.0,252.71,100.0,100.0
1773754206232254982,250.0,253.35,100.0,100.0
1773754206232291983,252.64,253.35,100.0,100.0
1773754206292308898,250.0,253.35,100.0,100.0
1773754206292354746,250.0,252.71,100.0,100.0
1773754206379333102,250.0,252.68,100.0,100.0
1773754206379474334,252.54,252.68,100.0,100.0
1773754206379515213,252.54,252.69,100.0,100.0
1773754206379831569,252.54,253.35,100.0,100.0
1773754206379896597,252.54,252.69,100.0,100.0
1773754206379916857,252.54,253.35,100.0,100.0
1773754206379943004,252.54,252.69,100.0,100.0
1773754206379981022,250.0,252.69,100.0,100.0
1773754206379999950,250.0,253.35,100.0,100.0
1773754206380053098,250.0,252.69,100.0,100.0
1773754206380085270,252.55,252.69,100.0,100.0
1773754206380121723,250.0,252.69,100.0,100.0
1773754206380218199,252.55,252.69,100.0,100.0
1773754206380347738,252.55,253.35,100.0,100.0
1773754206380403419,250.0,253.35,100.0,100.0
1773754206380473020,252.64,253.35,100.0,100.0
1773754206380586129,250.0,253.35,100.0,100.0
1773754206380626494,252.65,253.35,100.0,100.0
1773754206380833713,250.0,253.35,100.0,100.0
1773754206381035370,250.0,252.74,100.0,100.0
1773754206383221818,250.0,253.35,100.0,100.0
1773754206385833880,250.0,252.74,100.0,100.0
1773754206390998918,250.0,253.35,100.0,100.0
1773754206391025812,252.66,253.35,100.0,100.0
1773754206391582471,250.0,253.35,100.0,100.0
1773754206392114033,250.0,253.35,100.0,100.0
1773754206414629463,250.0,252.74,100.0,100.0
1773754206414718662,252.66,252.74,100.0,100.0
1773754206421823319,252.66,253.35,100.0,100.0
1773754206423461008,252.66,252.74,100.0,100.0
1773754206425299732,252.66,253.35,100.0,100.0
