ts,open_px,high_px,low_px,close_px,volume
1773769500000,671.39,671.47,671.205,671.22,2544.0
1773769560000,671.15,671.32,671.14,671.24,9729.0
1773769620000,671.26,671.26,671.03,671.03,1032.0
1773769680000,671.04,671.32,671.04,671.27,967.0
1773769740000,671.325,671.35,671.275,671.33,1437.0
1773769800000,671.29,671.43,671.2,671.2,1510.0
1773769860000,671.23,671.3,671.21,671.3,380.0
1773769920000,671.39,671.8,671.39,671.8,1325.0
1773769980000,671.73,671.87,671.72,671.87,354.0
1773770040000,671.77,671.77,671.77,671.77,245.0
1773770100000,671.83,671.86,671.65,671.665,1371.0
1773770160000,671.68,671.84,671.675,671.75,5131.0
1773770220000,671.75,671.84,671.75,671.82,1253.0
1773770280000,671.81,671.81,671.7,671.72,2686.0
1773770340000,671.7,671.75,671.67,671.68,1096.0
1773770400000,671.76,671.81,671.54,671.54,1798.0
1773770460000,671.53,671.58,671.42,671.42,4966.0
1773770520000,671.455,671.79,671.455,671.775,3018.0
1773770580000,671.775,672.0,671.775,671.92,1032.0
1773770640000,671.85,671.895,671.825,671.885,2725.0
1773770700000,671.905,671.99,671.71,671.72,1526.0
1773770760000,671.75,672.105,671.75,672.085,1018.0
1773770820000,672.08,672.205,672.05,672.2,3747.0
1773770880000,672.11,672.15,672.08,672.15,1861.0
1773770940000,672.09,672.205,672.09,672.205,1849.0
1773771000000,672.205,672.25,672.14,672.18,5700.0
1773771060000,672.18,672.18,672.04,672.04,7361.0
1773771120000,672.11,672.13,671.94,671.94,5840.0
1773771180000,671.98,671.98,671.9,671.91,1077.0
1773771240000,671.91,671.95,671.89,671.9,2370.0
1773771300000,671.91,671.92,671.86,671.86,1802.0
1773771360000,671.9,671.98,671.895,671.895,667.0
1773771420000,671.9,671.91,671.83,671.83,428.0
1773771480000,671.74,671.84,671.73,671.82,1173.0
1773771540000,671.77,671.84,671.77,671.84,366.0
1773771600000,671.73,671.77,671.73,671.73,526.0
1773771660000,671.7,671.73,671.58,671.66,2670.0
1773771720000,671.63,671.7,671.63,671.69,559.0
1773771780000,671.65,671.65,671.35,671.35,720.0
1773771840000,671.365,671.41,670.97,670.97,2411.0
1773771900000,671.09,671.23,670.99,670.99,1424.0
1773771960000,671.01,671.15,670.9,671.06,2565.0
1773772020000,671.06,671.15,671.03,671.03,1268.0
1773772080000,670.94,671.1,670.93,671.03,782.0
1773772140000,671.06,671.09,670.88,670.91,761.0
1773772200000,670.83,671.0,670.83,670.97,683.0
1773772260000,670.97,670.97,670.88,670.88,3566.0
1773772320000,670.88,671.16,670.76,671.14,753.0
1773772380000,671.155,671.155,670.99,671.02,6490.0
1773772440000,671.09,671.11,671.05,671.11,2382.0
1773772500000,671.05,671.13,671.015,671.13,1085.0
1773772560000,671.11,671.17,671.03,671.03,734.0
1773772620000,671.05,671.07,670.93,671.0,2026.0
1773772680000,670.97,671.1,670.96,671.025,750.0
1773772740000,671.0,671.2,671.0,671.035,3389.0
1773772800000,671.02,671.195,671.0,671.1,4886.0
1773772860000,671.09,671.09,670.92,670.92,1452.0
1773772920000,670.91,670.96,670.91,670.96,1200.0
1773772980000,670.94,671.1,670.94,671.04,922.0
1773773040000,671.025,671.025,670.84,670.84,795.0
1773773100000,670.9,670.92,670.85,670.92,908.0
1773773160000,670.86,671.08,670.86,671.08,3878.0
1773773220000,671.12,671.14,671.015,671.05,1017.0
1773773280000,671.06,671.16,671.03,671.15,1795.0
1773773340000,671.15,671.16,671.11,671.135,812.0
1773773400000,671.08,671.1,670.91,671.06,1260.0
1773773460000,671.08,671.27,671.08,671.27,1061.0
1773773520000,671.295,671.35,671.28,671.335,1865.0
1773773580000,671.34,671.42,671.3,671.34,1918.0
1773773640000,671.4,671.43,671.4,671.42,353.0
1773773700000,671.35,671.37,671.01,671.03,1986.0
1773773760000,671.04,671.06,670.855,670.885,5865.0
1773773820000,670.98,671.1,670.98,671.08,6778.0
1773773880000,671.06,671.08,671.03,671.05,824.0
1773773940000,671.06,671.09,671.04,671.09,1131.0
1773774000000,671.09,671.165,671.02,671.03,701.0
1773774060000,671.1,671.15,671.03,671.15,1389.0
1773774120000,671.11,671.28,671.11,671.18,542.0
